No.,Family,Taxon,Voucher
1,Apiaceae,Ligusticum grayi J.M. Colout & Rose,J.S. 7
2,Apocynaceae,Amsonia tomentosa Torr. & Frem.,R.C.B. 1237
3,Asteraceae,Acourtia wrightii (A. Gray) Reveal & King,R.C.B. 1273
4,Asteraceae,Arnica latifolia Bong.,R.C.B. 2150
5,Asteraceae,Arnica sororia Greene,R.C.B. 1332
6,Asteraceae,Chaenactis douglasii Hook. & Arn.,R.C.B. 1408
7,Asteraceae,Chaenactis douglasii (Hook.) Hook. & Arn.,R.C.B. 2068
8,Asteraceae,Crepis occidentalis Nutt.,R.C.B. 1305
9,Asteraceae,Erigeron aphanactis (A. Gray) Greene,R.C.B. 1407
10,Asteraceae,Erigeron corymbosus Nutt.,R.C.B. 2069
11,Asteraceae,Erigeron speciosus (Lindley) De Candolle,R.C.B. 2217
12,Asteraceae,Erigeron subtrinervis Rydb. Ex Porter & Britton,R.C.B. 2216
13,Asteraceae,Heliomeris multiflora Nutt.,R.C.B. 2201
14,Asteraceae,Heterotheca villosa (Pursh) Shinners,R.C.B. 2079
15,Asteraceae,Iva axillaris Pursh,R.C.B. 1300
16,Asteraceae,Oreostemma alpigenum (Torr. & A. Gray) Greene,R.C.B. 1728
17,Asteraceae,Senecio hydrophilus Nutt.,R.C.B. 2123
18,Asteraceae,Solidago canadensis L. var. lepida (DC.) Cronquist,R.C.B. 2194
19,Asteraceae,Symphyotrichum foliaceum (Lindl. Ex. D.C.) G.L. Nesom,R.C.B. 2192
20,Asteraceae,Xylorhiza glabriuscula Nutt.,R.C.B. 2084
21,Asteraceae,Xylorhiza glabriuscula Nutt.,R.C.B. 2097
22,Berberidaceae,Caulophyllum thalictroides (L.) Michx.,E.J.W. 4
23,Berberidaceae,Jeffersonia diphylla (L.) Pers.,E.J.W. 6
24,Boraginaceae,Mertensia virginica (L.) Pers. ex Link,E.J.W. 5
25,Boraginaceae,Oreocarya glomerata (Pursh) Greene,R.C.B. 2067
26,Boraginaceae,Phacelia humilis Torr. & A. Gray,R.C.B. 1354
27,Boraginaceae,Phacelia sericea (Graham ex Hook.) A. Gray,R.C.B. 1427
28,Brassicaceae,Cardamine douglasii Britton,E.J.W. 3
29,Cactaceae,Opuntia basilaris Engelm. & J.M. Bigelow,R.C.B. 1218
30,Caryophyllaceae,Arenaria nuttallii Pax.,R.C.B. 2094
31,Caryophyllaceae,Sabulina nuttallii (Pax) Dillenb. & Kadereit,R.C.B. 1587
32,Colchicaceae,Uvularia grandiflora Sm.,E.J.W. 7
33,Crassulaceae,Sedum lanceolatum Torr.,R.C.B. 2171
34,Ericaceae,Arctostaphylos patula Greene,R.C.B. 1361
35,Fabacaeae,Lupinus argenteus Pursh,R.C.B. 2211
