"binomial","genus","species","family"
"Equisetum arvense","Equisetum","arvense","Equisetaceae"
"Equisetum laevigatum","Equisetum","laevigatum","Equisetaceae"
"Equisetum variegatum","Equisetum","variegatum","Equisetaceae"
"Isoetes bolanderi","Isoetes","bolanderi","Isoetaceae"
"Spinulum annotinum","Spinulum","annotinum","Lycopodiaceae"
"Selaginella densa","Selaginella","densa","Selaginellaceae"
"Asplenium trichomanes","Asplenium","trichomanes","Aspleniaceae"
"Asplenium viride","Asplenium","viride","Aspleniaceae"
"Pteridium aquilinum","Pteridium","aquilinum","Dennstaedtiaceae"
"Athyrium filix","Athyrium","filix","Athyriaceae"
"Gymnocarpium dryopteris","Gymnocarpium","dryopteris","Cystopteridaceae"
"Botrychium hesperium","Botrychium","hesperium","Ophioglossaceae"
"Botrychium lunaria","Botrychium","lunaria","Ophioglossaceae"
"Cystopteris fragilis","Cystopteris","fragilis","Cystopteridaceae"
"Polystichum lonchitis","Polystichum","lonchitis","Dryopteridaceae"
"Woodsia oregana","Woodsia","oregana","Woodsiaceae"
"Cryptogramma acrostichoides","Cryptogramma","acrostichoides","Pteridaceae"
"Cryptogramma stelleri","Cryptogramma","stelleri","Pteridaceae"
"Juniperus communis","Juniperus","communis","Cupressaceae"
"Abies lasiocarpa","Abies","lasiocarpa","Pinaceae"
"Picea engelmannii","Picea","engelmannii","Pinaceae"
"Pinus contorta","Pinus","contorta","Pinaceae"
"Pinus aristata","Pinus","aristata","Pinaceae"
"Pseudotsuga menziesii","Pseudotsuga","menziesii","Pinaceae"
"Acer glabrum","Acer","glabrum","Sapindaceae"
"Adoxa moschatellina","Adoxa","moschatellina","Adoxaceae"
"Yucca glauca","Yucca","glauca","Asparagaceae"
"Angelica ampla","Angelica","ampla","Apiaceae"
"Angelica grayi","Angelica","grayi","Apiaceae"
"Conioselinum scopulorum","Conioselinum","scopulorum","Apiaceae"
"Oreoxis alpina","Oreoxis","alpina","Apiaceae"
"Pseudocymopterus montanus","Pseudocymopterus","montanus","Apiaceae"
"Heracleum sphondylium","Heracleum","sphondylium","Apiaceae"
"Ligusticum tenuifolium","Ligusticum","tenuifolium","Apiaceae"
"Ligusticum apiifolium","Ligusticum","apiifolium","Apiaceae"
"Ligusticum porteri","Ligusticum","porteri","Apiaceae"
"Lomatium dissectum","Lomatium","dissectum","Apiaceae"
"Osmorhiza depauperata","Osmorhiza","depauperata","Apiaceae"
"Osmorhiza occidentalis","Osmorhiza","occidentalis","Apiaceae"
"Oxypolis fendleri","Oxypolis","fendleri","Apiaceae"
"Apocynum androsaemifolium","Apocynum","androsaemifolium","Apocynaceae"
"Asclepias speciosa","Asclepias","speciosa","Apocynaceae"
"Asclepias subverticillata","Asclepias","subverticillata","Apocynaceae"
"Achillea millefolium","Achillea","millefolium","Asteraceae"
"Agoseris aurantiaca","Agoseris","aurantiaca","Asteraceae"
"Agoseris glauca","Agoseris","glauca","Asteraceae"
"Anaphalis margaritacea","Anaphalis","margaritacea","Asteraceae"
"Antennaria anaphaloides","Antennaria","anaphaloides","Asteraceae"
"Antennaria pulcherrima","Antennaria","pulcherrima","Asteraceae"
"Antennaria corymbosa","Antennaria","corymbosa","Asteraceae"
"Antennaria dimorpha","Antennaria","dimorpha","Asteraceae"
"Antennaria media","Antennaria","media","Asteraceae"
"Antennaria microphylla","Antennaria","microphylla","Asteraceae"
"Antennaria parvifolia","Antennaria","parvifolia","Asteraceae"
"Antennaria rosea","Antennaria","rosea","Asteraceae"
"Antennaria rosulata","Antennaria","rosulata","Asteraceae"
"Antennaria umbrinella","Antennaria","umbrinella","Asteraceae"
"Arnica chamissonis","Arnica","chamissonis","Asteraceae"
"Arnica cordifolia","Arnica","cordifolia","Asteraceae"
"Arnica latifolia","Arnica","latifolia","Asteraceae"
"Arnica longifolia","Arnica","longifolia","Asteraceae"
"Arnica mollis","Arnica","mollis","Asteraceae"
"Arnica parryi","Arnica","parryi","Asteraceae"
"Arnica rydbergii","Arnica","rydbergii","Asteraceae"
"Artemisia cana","Artemisia","cana","Asteraceae"
"Artemisia dracunculus","Artemisia","dracunculus","Asteraceae"
"Artemisia frigida","Artemisia","frigida","Asteraceae"
"Artemisia ludoviciana","Artemisia","ludoviciana","Asteraceae"
"Artemisia scopulorum","Artemisia","scopulorum","Asteraceae"
"Artemisia tridentata","Artemisia","tridentata","Asteraceae"
"Symphyotrichum ascendens","Symphyotrichum","ascendens","Asteraceae"
"Eucephalus engelmannii","Eucephalus","engelmannii","Asteraceae"
"Symphyotrichum foliaceum","Symphyotrichum","foliaceum","Asteraceae"
"Herrickia glauca","Herrickia","glauca","Asteraceae"
"Symphyotrichum spathulatum","Symphyotrichum","spathulatum","Asteraceae"
"Grindelia inuloides","Grindelia","inuloides","Asteraceae"
"Symphyotrichum eatonii","Symphyotrichum","eatonii","Asteraceae"
"Almutaster pauciflorus","Almutaster","pauciflorus","Asteraceae"
"Amauriopsis dissecta","Amauriopsis","dissecta","Asteraceae"
"Balsamorhiza sagittata","Balsamorhiza","sagittata","Asteraceae"
"Brickellia grandiflora","Brickellia","grandiflora","Asteraceae"
"Carduus nutans","Carduus","nutans","Asteraceae"
"Chaenactis douglasii","Chaenactis","douglasii","Asteraceae"
"Leucanthemum vulgare","Leucanthemum","vulgare","Asteraceae"
"Chrysothamnus viscidiflorus","Chrysothamnus","viscidiflorus","Asteraceae"
"Cirsium arvense","Cirsium","arvense","Asteraceae"
"Cirsium scariosum var. americanum","Cirsium","scariosum","Asteraceae"
"Cirsium eatonii","Cirsium","eatonii","Asteraceae"
"Cirsium parryi","Cirsium","parryi","Asteraceae"
"Cirsium eriophorum","Cirsium","eriophorum","Asteraceae"
"Cirsium undulatum","Cirsium","undulatum","Asteraceae"
"Crepis acuminata","Crepis","acuminata","Asteraceae"
"Crepis intermedia","Crepis","intermedia","Asteraceae"
"Crepis nana","Crepis","nana","Asteraceae"
"Askellia pygmaea","Askellia","pygmaea","Asteraceae"
"Crepis runcinata","Crepis","runcinata","Asteraceae"
"Ericameria discoidea","Ericameria","discoidea","Asteraceae"
"Ericameria nauseosa","Ericameria","nauseosa","Asteraceae"
"Ericameria parryi","Ericameria","parryi","Asteraceae"
"Erigeron acris","Erigeron","acris","Asteraceae"
"Erigeron elatus","Erigeron","elatus","Asteraceae"
"Erigeron compositus","Erigeron","compositus","Asteraceae"
"Erigeron coulteri","Erigeron","coulteri","Asteraceae"
"Erigeron eatonii","Erigeron","eatonii","Asteraceae"
"Erigeron elatior","Erigeron","elatior","Asteraceae"
"Erigeron eximius","Erigeron","eximius","Asteraceae"
"Erigeron flagellaris","Erigeron","flagellaris","Asteraceae"
"Erigeron formosissimus","Erigeron","formosissimus","Asteraceae"
"Erigeron glabellus","Erigeron","glabellus","Asteraceae"
"Erigeron leiomerus","Erigeron","leiomerus","Asteraceae"
"Erigeron lonchophyllus","Erigeron","lonchophyllus","Asteraceae"
"Erigeron melanocephalus","Erigeron","melanocephalus","Asteraceae"
"Erigeron peregrinus","Erigeron","peregrinus","Asteraceae"
